Date,Bed Time,Wake Time,Sleep Duration,Sleep Efficiency,Deep Sleep,Light Sleep,REM Sleep,Awake Time,Resting Heart Rate,Step Count
2025-07-16,05:46 AM,11:12 AM,325.0,92.0,83.0,145.0,70.0,26.0,67.0,935.0
2025-07-15,05:20 AM,10:48 AM,328.0,95.0,85.0,153.0,73.0,17.0,69.0,17942.0
2025-07-14,05:23 AM,11:34 AM,371.0,94.0,77.0,193.0,79.0,21.0,69.0,9627.0
2025-07-13,03:55 AM,12:27 PM,512.0,83.0,118.0,217.0,89.0,87.0,68.0,2006.0
2025-07-12,04:09 AM,11:01 AM,412.0,84.0,69.0,183.0,92.0,67.0,68.0,8716.0
2025-07-11,04:03 AM,10:32 AM,389.0,85.0,97.0,161.0,74.0,57.0,67.0,8832.0
2025-07-10,04:35 AM,10:46 AM,370.0,85.0,87.0,158.0,68.0,56.0,68.0,2801.0
2025-07-09,02:51 AM,10:31 AM,460.0,92.0,99.0,235.0,90.0,35.0,69.0,9829.0
2025-07-08,03:59 AM,09:35 AM,336.0,95.0,91.0,147.0,79.0,18.0,69.0,11371.0
2025-07-07,03:33 AM,09:32 AM,359.0,85.0,72.0,164.0,70.0,53.0,69.0,13893.0
2025-07-06,03:20 AM,10:36 AM,436.0,89.0,117.0,201.0,70.0,47.0,71.0,2873.0
2025-07-05,03:02 AM,09:29 AM,387.0,91.0,84.0,187.0,79.0,36.0,71.0,1452.0
2025-07-04,01:07 AM,07:54 AM,407.0,91.0,91.0,184.0,92.0,38.0,71.0,2419.0
2025-07-03,04:38 AM,11:06 AM,388.0,92.0,84.0,196.0,76.0,31.0,73.0,2957.0
2025-07-02,03:37 AM,11:09 AM,452.0,95.0,93.0,256.0,80.0,22.0,74.0,6942.0
2025-07-01,04:59 AM,10:48 AM,349.0,94.0,82.0,172.0,74.0,20.0,73.0,4906.0
2025-06-30,03:08 AM,11:44 AM,516.0,91.0,80.0,293.0,97.0,44.0,74.0,15284.0
2025-06-29,03:01 AM,09:02 AM,361.0,94.0,63.0,214.0,63.0,20.0,76.0,1815.0
2025-06-28,12:52 AM,10:03 AM,551.0,92.0,112.0,266.0,126.0,46.0,78.0,10303.0
2025-06-27,01:11 AM,05:38 AM,267.0,90.0,75.0,107.0,57.0,27.0,79.0,9644.0
2025-06-26,04:40 AM,11:09 AM,389.0,89.0,77.0,181.0,89.0,42.0,79.0,11288.0
2025-06-25,,,,,,,,,80.0,1913.0
2025-06-24,04:58 AM,10:47 AM,349.0,96.0,39.0,187.0,66.0,57.0,79.0,364.0
2025-06-23,02:22 AM,11:18 AM,535.0,90.0,31.0,291.0,156.0,57.0,78.0,1671.0
2025-06-22,03:39 AM,07:10 AM,211.0,91.0,22.0,142.0,25.0,22.0,78.0,834.0
2025-06-21,02:43 AM,09:34 AM,411.0,83.0,36.0,254.0,67.0,54.0,76.0,1111.0
2025-06-20,03:38 AM,10:11 AM,393.0,89.0,54.0,192.0,85.0,62.0,74.0,23490.0
2025-06-19,02:54 AM,10:26 AM,452.0,97.0,87.0,232.0,83.0,50.0,71.0,6762.0
2025-06-18,10:44 PM,05:26 AM,402.0,92.0,63.0,171.0,119.0,49.0,71.0,14332.0
2025-06-17,03:38 AM,08:59 AM,321.0,95.0,45.0,154.0,97.0,25.0,72.0,1980.0
2025-06-16,02:59 AM,10:17 AM,438.0,97.0,55.0,231.0,106.0,46.0,72.0,7896.0
2025-06-15,02:32 AM,10:08 AM,456.0,95.0,71.0,246.0,87.0,52.0,73.0,992.0
2025-06-14,01:15 AM,07:09 AM,354.0,90.0,50.0,195.0,54.0,55.0,72.0,6661.0
2025-06-13,02:00 AM,10:01 AM,481.0,90.0,103.0,217.0,97.0,64.0,71.0,10378.0
2025-06-12,02:00 AM,09:56 AM,476.0,90.0,83.0,207.0,121.0,65.0,72.0,3446.0
2025-06-11,01:10 AM,08:40 AM,450.0,94.0,76.0,213.0,109.0,52.0,71.0,8803.0
2025-06-10,02:35 AM,09:01 AM,386.0,95.0,53.0,177.0,111.0,45.0,71.0,9717.0
2025-06-09,12:55 AM,06:54 AM,359.0,94.0,31.0,195.0,91.0,42.0,70.0,14445.0
2025-06-08,12:24 AM,07:38 AM,434.0,94.0,25.0,275.0,88.0,46.0,71.0,5845.0
2025-06-07,12:49 AM,06:07 AM,317.0,97.0,67.0,142.0,76.0,32.0,72.0,3402.0
2025-06-06,11:55 PM,07:13 AM,438.0,95.0,57.0,213.0,119.0,49.0,71.0,6355.0
2025-06-05,11:44 PM,04:55 AM,311.0,92.0,45.0,180.0,55.0,31.0,72.0,3208.0
2025-06-04,11:56 PM,04:44 AM,288.0,93.0,59.0,145.0,53.0,31.0,74.0,13179.0
2025-06-03,11:11 PM,05:46 AM,395.0,93.0,52.0,199.0,101.0,43.0,72.0,1663.0
2025-06-02,09:46 PM,02:12 AM,266.0,93.0,46.0,137.0,45.0,38.0,72.0,1602.0
2025-06-01,08:50 PM,04:11 AM,441.0,93.0,39.0,256.0,111.0,35.0,72.0,8298.0
2025-05-31,10:49 PM,02:44 AM,235.0,92.0,17.0,162.0,18.0,38.0,73.0,1678.0
2025-05-30,10:33 PM,05:25 AM,412.0,94.0,46.0,229.0,77.0,60.0,73.0,1353.0
2025-05-29,11:04 PM,04:52 AM,348.0,96.0,64.0,170.0,78.0,36.0,73.0,2824.0
2025-05-28,09:36 PM,04:54 AM,438.0,94.0,61.0,228.0,107.0,42.0,74.0,12029.0
2025-05-27,10:15 PM,05:28 AM,433.0,94.0,79.0,193.0,113.0,48.0,76.0,10879.0
2025-05-26,10:10 PM,04:50 AM,400.0,95.0,62.0,203.0,70.0,65.0,73.0,23330.0
2025-05-25,08:55 PM,05:57 AM,542.0,92.0,40.0,327.0,99.0,76.0,74.0,17010.0
2025-05-24,08:41 PM,03:34 AM,413.0,93.0,28.0,254.0,81.0,50.0,75.0,11148.0
2025-05-23,07:58 PM,02:53 AM,415.0,94.0,65.0,220.0,82.0,48.0,75.0,13329.0
2025-05-22,08:09 PM,02:47 AM,398.0,94.0,63.0,172.0,130.0,33.0,74.0,16405.0
2025-05-21,07:53 PM,12:23 AM,270.0,96.0,27.0,167.0,42.0,34.0,75.0,12357.0
2025-05-20,07:09 PM,02:08 AM,418.0,93.0,49.0,234.0,80.0,55.0,73.0,12799.0
2025-05-19,06:38 PM,01:55 AM,437.0,90.0,76.0,195.0,88.0,78.0,76.0,14443.0
2025-05-18,06:26 PM,12:37 AM,370.0,92.0,59.0,180.0,77.0,54.0,73.0,15890.0
2025-05-17,05:22 PM,12:21 AM,419.0,97.0,61.0,198.0,112.0,48.0,72.0,17823.0
2025-05-16,,,,,,,,,73.0,1100.0
2025-05-15,06:39 PM,11:55 PM,206.0,89.0,41.0,72.0,65.0,28.0,73.0,8069.0
2025-05-14,04:41 PM,10:41 PM,360.0,100.0,,,,,71.0,1162.0
2025-05-13,01:03 PM,08:13 PM,429.0,93.0,86.0,162.0,131.0,50.0,71.0,16188.0
2025-05-12,11:55 AM,05:54 PM,359.0,95.0,70.0,162.0,88.0,39.0,71.0,1536.0
2025-05-11,09:00 AM,04:27 PM,446.0,94.0,37.0,228.0,149.0,32.0,73.0,9902.0
2025-05-10,08:29 AM,03:56 PM,446.0,89.0,39.0,254.0,88.0,65.0,72.0,1261.0
2025-05-09,08:55 AM,02:58 PM,363.0,90.0,35.0,211.0,87.0,30.0,72.0,1742.0
2025-05-08,08:21 AM,02:51 PM,390.0,96.0,53.0,191.0,110.0,36.0,71.0,9559.0
2025-05-07,09:08 AM,03:33 PM,385.0,94.0,40.0,182.0,124.0,39.0,71.0,6823.0
2025-05-06,08:53 AM,03:03 PM,370.0,95.0,54.0,149.0,115.0,52.0,70.0,11191.0
2025-05-05,08:20 AM,03:35 PM,435.0,90.0,76.0,162.0,139.0,58.0,68.0,14681.0
2025-05-04,08:31 AM,02:10 PM,339.0,97.0,52.0,168.0,81.0,38.0,69.0,14901.0
2025-05-03,08:09 AM,03:04 PM,415.0,94.0,39.0,213.0,128.0,35.0,70.0,17473.0
2025-05-02,08:24 AM,02:21 PM,357.0,90.0,54.0,169.0,89.0,45.0,69.0,18342.0
2025-05-01,09:25 AM,02:43 PM,318.0,95.0,52.0,160.0,70.0,36.0,69.0,10728.0
2025-04-30,08:23 AM,02:01 PM,338.0,98.0,58.0,179.0,76.0,25.0,69.0,15825.0
2025-04-29,,,,,,,,,70.0,578.0
2025-04-28,08:07 AM,12:08 PM,241.0,93.0,12.0,147.0,56.0,26.0,70.0,9748.0
2025-04-27,08:29 AM,02:39 PM,370.0,97.0,8.0,246.0,76.0,40.0,68.0,15841.0
2025-04-26,08:42 AM,02:35 PM,353.0,94.0,39.0,193.0,90.0,31.0,69.0,20143.0
2025-04-25,08:30 AM,02:36 PM,366.0,96.0,69.0,157.0,105.0,35.0,68.0,18065.0
2025-04-24,08:00 AM,02:55 PM,415.0,95.0,48.0,200.0,106.0,61.0,67.0,3081.0
2025-04-23,07:46 AM,02:42 PM,416.0,97.0,48.0,227.0,104.0,37.0,68.0,7673.0
2025-04-22,08:44 AM,02:15 PM,331.0,95.0,40.0,171.0,69.0,51.0,68.0,1707.0
2025-04-21,08:05 AM,02:13 PM,368.0,95.0,57.0,188.0,73.0,50.0,69.0,4682.0
2025-04-20,08:21 AM,02:36 PM,375.0,89.0,64.0,162.0,112.0,37.0,69.0,24654.0
2025-04-19,08:19 AM,02:24 PM,365.0,97.0,36.0,196.0,95.0,38.0,67.0,30298.0
2025-04-18,07:37 AM,02:06 PM,389.0,97.0,65.0,189.0,103.0,32.0,67.0,13468.0
2025-04-17,08:10 AM,02:04 PM,354.0,93.0,61.0,171.0,69.0,53.0,66.0,3899.0
2025-04-16,08:21 AM,02:15 PM,354.0,97.0,50.0,176.0,100.0,28.0,67.0,12530.0
2025-04-15,07:46 AM,02:27 PM,401.0,96.0,70.0,176.0,102.0,53.0,69.0,17000.0
2025-04-14,07:46 AM,02:32 PM,406.0,92.0,66.0,166.0,133.0,41.0,69.0,11322.0
2025-04-13,07:45 AM,12:46 PM,301.0,91.0,54.0,148.0,71.0,28.0,71.0,13698.0
2025-04-12,07:30 AM,01:54 PM,384.0,96.0,54.0,198.0,64.0,68.0,70.0,26030.0
2025-04-11,08:28 AM,02:03 PM,335.0,90.0,53.0,150.0,84.0,48.0,69.0,15659.0
2025-04-10,08:22 AM,02:23 PM,361.0,90.0,52.0,149.0,97.0,63.0,67.0,1476.0
2025-04-09,07:38 AM,02:01 PM,382.0,98.0,28.0,211.0,106.0,37.0,67.0,617.0
2025-04-08,07:11 AM,01:37 PM,386.0,95.0,65.0,196.0,78.0,47.0,67.0,20532.0
2025-04-07,07:54 AM,01:10 PM,316.0,96.0,43.0,168.0,52.0,53.0,66.0,25691.0
2025-04-06,08:09 AM,01:42 PM,333.0,96.0,37.0,201.0,56.0,39.0,66.0,1444.0
2025-04-05,07:15 AM,03:12 PM,477.0,96.0,51.0,270.0,107.0,49.0,67.0,642.0
2025-04-04,,,,,,,,,68.0,548.0
2025-04-03,06:50 AM,12:26 PM,336.0,94.0,49.0,180.0,67.0,40.0,69.0,4166.0
2025-04-02,06:05 AM,11:47 AM,342.0,94.0,38.0,199.0,50.0,55.0,68.0,2524.0
2025-04-01,,,,,,,,,70.0,9927.0
2025-03-31,05:41 AM,12:20 PM,399.0,95.0,54.0,210.0,85.0,50.0,69.0,8774.0
2025-03-30,05:27 AM,11:47 AM,380.0,96.0,27.0,219.0,103.0,31.0,71.0,23023.0
2025-03-29,06:30 AM,11:59 AM,329.0,96.0,37.0,192.0,65.0,35.0,73.0,13555.0
2025-03-28,08:20 AM,12:05 PM,225.0,92.0,28.0,141.0,17.0,39.0,75.0,15394.0
2025-03-27,05:53 AM,12:10 PM,377.0,93.0,71.0,164.0,95.0,47.0,77.0,19336.0
2025-03-26,,,,,,,,,76.0,18619.0
2025-03-25,06:03 AM,11:58 AM,355.0,98.0,68.0,146.0,96.0,45.0,76.0,2184.0
2025-03-24,05:19 AM,12:05 PM,406.0,91.0,22.0,280.0,43.0,61.0,73.0,21395.0
2025-03-23,05:50 AM,11:09 AM,319.0,97.0,65.0,145.0,77.0,32.0,71.0,23863.0
2025-03-22,06:40 AM,11:57 AM,317.0,97.0,59.0,136.0,102.0,20.0,69.0,7316.0
2025-03-21,05:49 AM,12:37 PM,408.0,95.0,41.0,236.0,76.0,55.0,68.0,10257.0
2025-03-20,05:58 AM,11:12 AM,314.0,95.0,62.0,154.0,51.0,47.0,67.0,15613.0
2025-03-19,05:30 AM,10:41 AM,311.0,95.0,50.0,173.0,35.0,53.0,66.0,10601.0
2025-03-18,09:17 AM,02:06 PM,289.0,98.0,15.0,207.0,43.0,24.0,65.0,14200.0
2025-03-17,04:46 AM,12:13 PM,447.0,94.0,61.0,272.0,64.0,50.0,68.0,13569.0
2025-03-16,05:11 AM,11:38 AM,387.0,96.0,67.0,177.0,101.0,42.0,67.0,18334.0
2025-03-15,05:30 AM,11:40 AM,370.0,97.0,57.0,199.0,77.0,37.0,68.0,19203.0
2025-03-14,05:04 AM,12:00 PM,415.0,88.0,69.0,194.0,81.0,71.0,69.0,8837.0
2025-03-13,04:20 AM,12:18 PM,478.0,94.0,69.0,237.0,106.0,66.0,70.0,25033.0
2025-03-12,04:24 AM,10:35 AM,371.0,96.0,39.0,198.0,82.0,52.0,68.0,11349.0
2025-03-11,04:52 AM,09:09 AM,257.0,98.0,41.0,134.0,63.0,19.0,67.0,6290.0
2025-03-10,03:39 AM,11:55 AM,496.0,94.0,84.0,246.0,102.0,64.0,69.0,17148.0
2025-03-09,,,,,,,,,70.0,26579.0
2025-03-08,11:22 PM,07:28 AM,486.0,98.0,97.0,204.0,156.0,29.0,71.0,55.0
2025-03-07,,,,,,,,,69.0,12455.0
2025-03-06,10:34 PM,03:41 AM,204.0,93.0,41.0,103.0,31.0,29.0,69.0,69.0
2025-03-05,03:20 AM,08:05 AM,285.0,96.0,62.0,93.0,101.0,29.0,69.0,2302.0
2025-03-04,02:57 AM,09:47 AM,410.0,99.0,73.0,183.0,117.0,37.0,68.0,17182.0
2025-03-03,02:38 AM,09:03 AM,385.0,97.0,83.0,194.0,71.0,37.0,69.0,18199.0
2025-03-02,02:51 AM,06:51 AM,240.0,98.0,46.0,125.0,43.0,26.0,70.0,24037.0
2025-03-01,03:30 AM,09:01 AM,330.0,98.0,43.0,191.0,66.0,30.0,70.0,18381.0
2025-02-28,03:21 AM,09:02 AM,341.0,96.0,55.0,181.0,80.0,25.0,69.0,6545.0
2025-02-27,03:37 AM,09:35 AM,358.0,96.0,72.0,180.0,66.0,40.0,69.0,3684.0
2025-02-26,03:10 AM,09:32 AM,381.0,96.0,19.0,251.0,65.0,46.0,69.0,14152.0
2025-02-25,,,,,,,,,70.0,21002.0
2025-02-24,03:24 AM,09:49 AM,385.0,96.0,37.0,234.0,51.0,63.0,70.0,5768.0
2025-02-23,02:41 AM,10:04 AM,443.0,94.0,40.0,263.0,86.0,54.0,69.0,12786.0
2025-02-22,02:16 AM,09:53 AM,457.0,96.0,55.0,241.0,107.0,54.0,70.0,381.0
2025-02-21,01:51 AM,09:13 AM,442.0,96.0,41.0,251.0,96.0,54.0,72.0,20866.0
2025-02-20,02:08 AM,08:18 AM,370.0,95.0,56.0,176.0,106.0,32.0,73.0,5387.0
2025-02-19,02:25 AM,09:28 AM,423.0,97.0,52.0,194.0,148.0,29.0,71.0,340.0
2025-02-18,01:36 AM,08:01 AM,385.0,96.0,69.0,214.0,56.0,46.0,72.0,108.0
2025-02-17,01:51 AM,08:09 AM,378.0,97.0,45.0,205.0,92.0,36.0,70.0,392.0
2025-02-16,02:24 AM,10:18 AM,474.0,94.0,52.0,255.0,125.0,42.0,69.0,15965.0
2025-02-15,02:32 AM,09:01 AM,389.0,95.0,66.0,203.0,84.0,36.0,69.0,16749.0
2025-02-14,03:19 AM,09:17 AM,358.0,98.0,55.0,202.0,80.0,21.0,68.0,322.0
2025-02-13,11:42 PM,08:03 AM,501.0,97.0,77.0,250.0,131.0,43.0,70.0,12814.0
2025-02-12,02:06 AM,06:27 AM,261.0,97.0,50.0,119.0,66.0,26.0,70.0,5068.0
2025-02-11,01:58 AM,10:03 AM,485.0,96.0,91.0,211.0,144.0,39.0,68.0,17408.0
2025-02-10,12:40 AM,06:23 AM,343.0,99.0,64.0,159.0,100.0,20.0,66.0,773.0
2025-02-09,01:44 AM,07:33 AM,349.0,94.0,55.0,163.0,91.0,40.0,68.0,12568.0
2025-02-08,01:22 AM,08:07 AM,405.0,92.0,41.0,240.0,85.0,39.0,68.0,603.0
2025-02-07,12:09 AM,07:14 AM,425.0,92.0,60.0,205.0,110.0,50.0,68.0,18176.0
2025-02-06,12:21 AM,07:12 AM,411.0,90.0,47.0,214.0,91.0,59.0,67.0,431.0
2025-02-05,12:11 AM,07:48 AM,457.0,95.0,76.0,233.0,100.0,48.0,68.0,12119.0
2025-02-04,10:35 PM,06:46 AM,491.0,95.0,84.0,201.0,157.0,49.0,69.0,521.0
2025-02-03,10:48 PM,06:09 AM,441.0,95.0,59.0,237.0,110.0,35.0,69.0,18205.0
2025-02-02,10:49 PM,05:26 AM,397.0,95.0,67.0,169.0,115.0,46.0,69.0,29289.0
2025-02-01,09:47 PM,05:56 AM,489.0,89.0,61.0,273.0,83.0,72.0,69.0,24538.0
2025-01-31,11:55 PM,07:05 AM,430.0,97.0,98.0,157.0,130.0,45.0,72.0,6716.0
2025-01-30,10:58 PM,05:26 AM,388.0,95.0,63.0,164.0,134.0,27.0,72.0,14437.0
2025-01-29,10:43 PM,04:34 AM,350.0,95.0,40.0,192.0,75.0,43.0,72.0,1018.0
2025-01-28,10:31 PM,06:17 AM,466.0,94.0,82.0,255.0,80.0,49.0,75.0,9906.0
2025-01-27,11:15 PM,06:24 AM,429.0,96.0,68.0,218.0,96.0,47.0,,19333.0
2025-01-26,,,,,,,,,75.0,14895.0
2025-01-25,10:22 PM,04:30 AM,368.0,98.0,66.0,155.0,100.0,47.0,74.0,21169.0
2025-01-24,10:45 PM,03:52 AM,307.0,94.0,57.0,150.0,76.0,24.0,74.0,2322.0
2025-01-23,09:08 PM,04:40 AM,452.0,96.0,38.0,257.0,117.0,40.0,73.0,12485.0
2025-01-22,09:52 PM,05:22 AM,450.0,98.0,75.0,209.0,121.0,45.0,73.0,17227.0
2025-01-21,09:39 PM,03:47 AM,368.0,96.0,46.0,179.0,100.0,43.0,74.0,9382.0
